Food Group,Major Food Code,Minor Food Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Takeaway fish,,,2,3,3,3,4,5,5,6,7,8,7,7,8,10,9,9,10,8,10,12,13,11,8,8,9,10,7,13,13,12,14,12,13,14,13,15,13,15,13,13,13,16,16,13,14,14,14,15,10,12,11
"Salmon, tinned",,,1,2,1,1,2,2,2,3,2,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2
Other tinned or bottled fish,,,1,1,2,2,2,2,2,3,3,3,3,4,4,5,5,6,7,6,7,6,6,6,7,7,7,8,8,9,9,9,10,10,10,10,11,12,11,13,14,14,14,13,13,13,14,15,17,16,14,13,15
Ready meals and other fish products - frozen or not frozen,,,2,2,3,4,4,5,6,6,8,8,9,9,10,10,11,12,13,12,13,16,15,11,10,11,12,11,12,16,17,21,23,25,27,28,29,28,31,33,33,35,32,35,34,34,37,41,43,48,41,42,44
Takeaway fish meals and fish products,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,9,11,11,12,11,10,5,5,4,4,6,5,5,4,5,4,4,5,4,5,5,5,4,6,6,4,9,6,7,7
,Takeaway fish products,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2
,Takeaway fish based meals,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,2,2,2,8,10,10,11,10,9,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,3,5,6,3,8,5,6,5
,,,11,11,13,14,14,16,18,19,19,18,19,19,19,19,18,16,18,18,17,16,16,16,17,16,16,16,16,17,17,18,18,19,19,23,26,27,28,28,30,31,30,28,28,29,30,32,32,34,31,39,43
,,,15,18,21,26,28,31,33,33,34,34,36,37,37,34,35,37,37,37,38,38,37,37,41,38,37,36,37,36,37,36,37,38,40,41,49,47,50,53,55,55,52,52,52,46,57,59,58,65,55,72,70
Butter,,,7,9,12,13,15,17,17,16,15,16,14,14,12,11,11,11,10,10,9,10,9,10,11,11,11,10,11,12,11,10,11,12,12,14,16,15,16,19,20,20,20,20,20,16,20,21,20,24,19,24,24
Margarine,,,3,4,5,7,7,8,9,10,10,10,12,12,11,11,11,10,11,11,11,10,5,5,4,3,3,2,3,2,2,1,1,3,3,3,5,5,5,5,6,6,4,4,4,8,12,13,13,13,12,17,13
,Soft margarine,,2,2,3,4,5,6,7,7,7,7,9,9,9,9,10,10,10,11,10,9,5,5,3,2,3,2,2,1,1,1,1,3,3,3,4,5,5,5,5,5,4,4,4,7,11,12,12,13,12,16,12
,Other margarine,,2,2,2,3,2,2,2,3,3,3,3,3,2,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
"Lard, cooking fat",,,2,3,2,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetable and salad oils,,,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,7,7,6,6,7,7,8,7,8,8,10,9,12,11,11,12,13,14,12,15,15,11,13,13,14,16,13,18,20
,Olive oil,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,5,6,5,6,6,6,6,5,7,6,6,6,5,7,7,7,9,7,8,11
,Other vegetable and salad oils,,1,1,1,1,1,1,2,2,2,2,2,2,3,2,3,3,3,3,4,4,4,5,6,6,5,5,6,4,4,4,4,4,4,4,6,6,6,6,7,7,6,9,9,6,6,6,7,7,6,10,9
All other fats,,,1,1,1,1,1,1,2,2,3,3,3,5,7,6,8,10,10,10,12,12,16,16,17,17,15,16,15,16,16,16,17,14,14,14,16,15,16,17,16,14,15,13,13,11,12,11,11,12,10,12,12
,Reduced fat spreads,,0,0,0,0,0,0,1,1,1,1,0,0,2,2,3,4,4,4,5,5,9,9,10,11,9,10,10,11,10,11,8,8,9,8,10,9,10,9,9,8,8,7,7,6,6,6,6,7,5,7,6
,Low fat spreads,,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,4,4,4,4,5,4,5,5,4,4,4,4,3,3,3,6,4,4,4,3,4,4,5,4,4,4,3,3,3,3,2,2,2,2,2,2
,Suet and dripping,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
,Imitatation cream,,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3
,,,9,16,15,16,16,18,20,21,21,23,22,21,21,21,21,21,21,23,21,22,20,20,23,21,19,17,16,15,16,16,17,17,17,17,19,20,21,21,23,23,21,19,19,20,21,18,19,25,21,20,24
Sugar,,,6,12,11,11,12,13,14,16,16,16,16,14,14,14,14,14,14,14,13,13,12,12,14,12,10,9,8,7,8,8,8,8,8,8,8,9,9,10,11,11,9,7,7,7,7,6,6,9,6,7,9
Jams and fruit curds,,,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,6,5,4,6
Marmalade,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"Syrup, treacle",,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,3,3,2,3
Honey,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,3,3,3,3,3,3,5,4,4,5,4,4,5,5,6,4,5,6,5,5,5
,,,62,80,97,103,105,124,139,151,162,181,190,195,221,240,255,272,300,323,326,328,337,370,384,386,406,417,411,421,428,442,451,483,504,519,521,529,554,558,582,605,592,590,595,620,638,656,654,743,643,660,725
,,,41,54,69,69,68,83,91,100,109,120,128,129,145,159,167,178,195,206,213,217,225,253,259,252,266,274,265,271,269,279,284,294,303,317,320,329,343,343,358,375,361,355,358,363,376,387,393,442,378,411,442
,,,14,22,32,27,24,31,33,38,46,48,53,47,54,63,61,67,74,75,82,85,92,110,110,100,111,113,105,104,99,102,102,101,103,108,109,111,113,116,121,129,123,123,123,120,127,127,128,135,120,139,147
Fresh potatoes,,,8,14,22,17,12,17,15,17,21,22,25,18,22,24,23,25,28,28,25,24,29,39,32,26,35,34,33,36,31,32,34,34,35,37,38,36,36,35,37,42,37,34,34,33,34,31,28,31,23,27,28
,Fresh new potatoes [note 7],,3,4,9,8,4,6,6,6,9,7,12,7,8,10,10,9,13,11,12,9,10,16,15,10,12,16,12,15,12,13,9,9,9,9,9,9,9,8,8,9,8,8,7,7,7,8,6,7,5,6,6
,Fresh baking potatoes [note 7],,3,5,6,5,5,6,5,6,8,6,8,6,7,7,6,7,8,9,7,8,9,11,10,7,11,10,10,10,8,9,5,5,6,6,6,5,5,6,6,7,6,6,6,6,6,6,5,5,4,6,6
,Other fresh potatoes [note 7],,2,5,6,3,3,5,4,6,5,9,5,5,7,8,6,9,8,8,7,7,10,12,7,9,12,9,11,11,10,11,20,20,21,22,24,23,22,21,24,27,23,21,21,20,20,17,17,18,14,15,17
Processed potatoes,,,6,8,11,10,12,15,17,21,24,26,27,30,33,38,39,41,46,47,57,61,63,72,79,74,76,79,72,68,68,70,68,67,68,70,71,74,76,81,84,87,86,88,89,88,93,96,100,105,97,112,119
,Chips and takeaway chips,,3,4,6,5,6,8,9,11,12,13,12,13,15,19,18,19,21,19,24,28,30,34,34,32,34,35,29,29,29,29,28,28,28,30,30,31,31,33,33,34,34,36,36,36,38,37,41,40,32,40,40
,,Chips - frozen or not frozen,1,2,3,2,2,3,4,5,6,6,6,7,7,9,9,10,11,11,13,14,15,18,18,16,18,19,17,10,10,10,9,9,11,11,12,13,13,14,14,15,15,15,14,15,15,16,16,18,16,20,21
,,Takeaway chips,2,3,4,3,4,5,5,6,6,7,6,7,8,9,9,9,10,8,11,14,15,16,15,15,16,16,12,19,19,18,19,18,18,19,18,18,18,19,19,19,19,21,22,22,23,22,25,21,15,20,19
,Instant potato,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Canned potatoes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Crisps and potato snacks,,2,3,3,4,4,5,6,8,9,11,12,13,14,16,17,18,20,23,27,28,27,30,37,35,34,35,34,30,29,31,30,30,30,31,32,34,36,38,40,42,41,40,41,40,42,46,46,51,52,58,62
,"Other potato products, frozen or not frozen",,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,5,5,6,7,6,7,8,7,8,9,9,9,9,8,9,9,8,8,10,10,11,11,11,11,11,12,12,13,13,13,14,16
,,,48,58,65,76,81,93,107,113,116,133,137,147,167,177,194,206,226,248,243,243,245,260,274,286,295,304,306,317,330,340,349,382,401,411,411,419,441,442,460,476,469,468,472,500,511,529,526,608,524,521,578
,,,27,33,37,42,43,52,58,62,64,72,75,82,91,97,106,112,121,131,130,132,133,142,149,152,155,162,160,167,170,177,182,194,200,209,210,218,230,227,236,245,237,233,235,243,249,260,264,307,259,272,295
Fresh green vegetables,,,6,6,7,8,8,10,11,12,12,14,14,15,17,17,20,21,23,25,24,25,25,27,28,31,33,34,36,40,40,43,43,45,46,49,45,46,49,48,51,51,49,48,48,48,48,49,50,57,49,50,52
,Fresh cabbages,,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5
,Fresh brussels sprouts,,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
,Fresh cauliflower,,1,1,1,2,2,2,3,3,3,3,4,3,4,3,4,4,5,7,7,8,8,9,8,9,9,8,8,9,9,9,9,11,10,11,10,11,10,11,11,11,10,8,8,9,9,10,10,11,10,11,11
,Leafy salads fresh,,1,2,2,2,2,3,3,3,3,4,4,4,5,6,6,7,7,8,8,8,8,9,10,11,12,13,14,17,17,19,19,19,20,20,18,19,22,21,22,22,21,20,20,19,18,20,18,20,19,19,19
,,Lettuce and leafy salads,1,2,2,2,2,3,3,3,3,4,4,4,5,6,6,7,7,8,8,8,8,9,10,11,12,13,14,17,7,8,8,8,9,9,8,8,9,8,8,8,7,7,7,7,7,8,7,8,7,7,8
,,Prepared lettuce salads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,11,11,11,12,10,11,13,13,14,14,13,13,13,12,11,12,11,12,12,12,11
,Fresh peas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Fresh beans,,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,5,5,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,5,6,6,5,5,5
,Other fresh green vegetables,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,1,0,0,0,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,3,3,4,4,5,5,6,6,6,7,9,6,7,7
Other fresh vegetables,,,10,12,14,15,17,19,23,25,24,28,30,32,36,39,43,44,48,51,51,51,52,58,59,60,62,65,67,75,77,80,85,91,96,100,102,105,113,110,113,118,114,111,111,113,114,118,120,141,115,120,135
,Fresh carrots,,1,1,2,2,2,2,2,3,3,3,4,4,4,5,5,5,6,7,6,6,6,6,6,6,7,6,6,7,6,6,7,8,8,9,9,9,9,9,10,10,9,8,8,8,7,8,8,8,6,7,7
,Fresh turnips and swede,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1
,Other fresh root vegetables,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,6,6,6,7,7,7,6,7,8,8,8,8,10,9,8,8,9,8,8,9
,"Fresh onions, leeks and shallots",,1,2,2,2,2,3,3,3,3,4,4,4,5,5,6,6,7,7,7,7,8,9,8,9,9,9,9,11,11,11,11,12,12,13,14,14,15,16,15,15,14,14,14,13,13,14,15,18,14,16,17
,Fresh cucumbers,,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,5,4,4,4,4,5,4,4,4,4,5,5,5,5,6,5,6,6,6,7,7,7,7,7,6,6,6,6,6,7,8,8,7,9,10
,Fresh mushrooms,,1,1,1,2,2,2,3,3,3,4,4,5,6,6,7,7,7,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,10,10,11,12,11,11,11,12,11,11,11,11,12,12,14,12,12,11
,Fresh tomatoes,,4,5,6,6,7,7,9,9,9,10,10,10,11,11,12,12,13,13,12,12,12,12,13,12,14,15,16,17,18,19,19,20,21,22,21,22,25,23,24,25,23,23,23,23,24,24,24,29,24,24,26
,Miscellaneous fresh vegtables,,1,1,1,1,1,2,2,3,2,3,3,4,5,5,6,7,7,9,9,10,10,12,13,14,14,16,16,21,22,23,26,30,31,33,33,33,37,36,39,40,40,39,40,41,41,45,43,54,43,43,54
,,"Fresh vegetable stewpack, stirfry pack etc.",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,6,6,6,7,8,7,8,7,8,8,9,8,9,8,7,8,7,9,7,6,7
,,Fresh stem vegetables,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,5,5,5,5,6,7,7,6,7,8,7,8,8,8,8,8,8,9,10,9,12,9,9,10
,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,7,8,8,10,10,11,12,14,14,15,15,15,17,17,18,19,18,17,17,19,19,20,21,25,21,21,27
,,Fresh herbs,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,7,6,7,6,8,9
Processed vegetables excluding processed potatoes,,,11,14,16,19,18,22,24,26,28,30,31,35,38,40,43,46,50,54,56,56,56,57,62,61,59,62,58,52,53,54,55,57,59,60,64,67,69,69,72,76,74,75,76,82,87,93,94,109,95,102,108
,"Tomatoes, canned or bottled",,1,1,1,1,1,2,2,2,2,2,2,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,5,6,6,6,6,7,6,6,6,7,7,8,7,8,6,8,7
,"Peas, canned",,2,2,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1
,Beans canned,,3,3,4,4,4,5,5,6,6,7,7,8,8,9,9,9,9,9,9,8,8,8,9,9,9,8,9,7,8,7,8,9,9,9,11,12,12,12,12,12,12,12,12,11,12,13,13,14,13,15,15
,,Baked beans in sauce,3,3,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8,8,8,7,7,7,7,7,8,7,7,6,6,6,6,7,8,8,9,10,10,10,10,10,9,9,9,8,9,9,9,10,9,10,10
,,Other canned beans and pulses,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5
,Other canned vegetables,,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,4,4,4,5,4,4,6
,Dried pulses other than air-dried,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,3,2,2,2,3,3,3
,Air-dried vegetables,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,Vegetable juices and purees,,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3
,,Tomato puree and vegetable purees,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,3
,,"Vegetable juices eg tomato juice, carrot juice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1
,"Peas, frozen",,2,2,2,3,3,4,4,4,5,4,5,5,5,5,6,5,6,6,5,5,5,5,6,6,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4
,"Beans, frozen",,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
,Ready meals and other vegetable products (inc takeaways),,1,1,1,1,1,1,2,2,2,3,4,4,6,7,9,10,12,13,17,19,21,21,23,23,23,26,22,25,25,25,27,29,29,29,29,30,32,31,33,35,37,37,38,43,47,51,54,62,55,55,59
,,"Ready meals and other vegetable products, frozen or not frozen",0,1,1,1,1,1,1,1,2,3,3,3,5,6,7,8,10,11,13,15,16,15,16,16,16,18,17,17,19,18,19,21,21,21,21,21,24,23,25,27,27,28,28,31,35,39,41,48,44,45,48
,,All vegetable takeaway products,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,6,7,7,7,9,6,7,6,7,8,8,8,8,8,9,8,8,8,9,10,9,10,12,12,11,12,14,11,10,12
,Other frozen vegetables,,1,1,2,2,2,3,3,3,4,3,4,5,5,6,6,7,8,10,10,9,9,10,10,10,10,10,9,5,5,6,5,5,5,5,5,5,5,5,6,6,6,5,5,6,6,6,6,7,5,7,8
,,,21,25,28,34,37,41,48,51,52,61,62,66,76,81,88,94,105,117,113,111,112,118,125,134,140,143,146,150,159,163,167,188,201,202,201,200,211,215,224,230,232,235,237,257,262,269,261,302,265,249,283
Fresh fruit,,,12,15,16,20,22,24,29,30,32,37,37,40,47,49,54,58,67,72,71,69,74,78,82,89,93,95,97,102,111,115,119,131,136,138,139,138,146,146,152,155,160,166,167,182,186,190,185,208,181,169,195
,Fresh oranges,,2,3,3,3,3,4,4,4,4,5,5,5,6,6,7,6,7,7,6,5,6,6,6,6,6,5,6,6,6,7,6,7,6,7,6,6,7,7,7,7,7,7,7,7,8,7,7,9,8,7,8
,Other fresh citrus fruits,,1,1,1,2,2,2,3,3,3,4,3,4,5,5,5,6,6,6,7,7,7,8,8,9,9,9,10,10,12,12,12,12,13,13,14,14,14,15,15,16,16,16,16,17,18,19,19,20,17,16,17
,Fresh apples,,4,6,6,8,8,8,9,10,11,12,12,12,14,14,15,16,19,21,20,16,18,19,19,20,20,19,20,19,21,22,21,21,22,23,22,23,23,22,24,25,24,23,23,25,23,24,24,28,25,19,23
,Fresh pears,,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,7,6,6,6,7,7,6,7,6,6,6,6,7,6,6,7,5,5,6
,Fresh stone fruit,,1,1,1,1,1,2,2,2,2,3,3,3,4,5,4,5,5,6,5,6,7,7,7,8,8,11,11,12,14,15,15,17,18,16,16,15,16,17,18,18,19,23,23,25,26,26,25,28,23,22,27
,Fresh grapes,,0,0,0,1,1,1,1,2,1,2,2,2,3,3,4,4,5,6,6,7,7,8,8,9,10,11,10,12,13,14,14,17,17,17,18,18,19,20,19,20,21,20,21,21,21,20,20,23,20,19,21
,Other fresh soft fruit,,0,1,0,1,1,1,2,2,1,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,6,7,7,8,10,12,15,17,19,22,21,24,25,25,28,26,30,35,37,43,45,47,45,54,47,43,54
,Fresh bananas,,2,3,3,4,4,4,5,5,6,6,7,8,9,9,11,12,14,15,15,15,16,16,18,20,22,22,21,22,21,19,19,21,21,21,21,20,21,20,20,21,20,20,20,20,22,22,22,21,19,19,21
,Fresh melons,,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,5,5,6,6,7,7,7,6,6,6
,Other fresh fruit,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,4,6,7,8,8,10,8,10,9,10,11,11,10,10,11,10,11,11,11,10,11,11
Processed fruit and fruit products,,,9,11,12,14,15,17,20,20,21,24,24,26,29,32,34,36,38,44,42,42,38,40,43,45,46,47,49,48,49,48,48,58,65,64,62,62,65,69,72,76,72,69,70,75,76,79,76,93,84,80,88
,"Tinned peaches, pears and pineapples",,2,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2
,All other tinned or bottled fruit,,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,4,5
,Dried fruit,,2,2,2,3,3,4,4,4,3,4,4,4,5,5,4,4,5,5,5,5,5,5,5,6,5,5,5,5,6,5,6,7,7,7,7,8,8,9,9,9,9,8,8,9,8,9,9,11,9,8,7
,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,5,4,4,3
,"Nuts, edible seeds and peanut butter",,1,1,1,2,2,2,3,3,3,4,4,4,4,6,5,5,6,7,7,8,8,7,8,8,8,7,8,9,10,11,13,14,15,14,14,16,17,17,19,23,24,24,25,30,30,30,30,37,32,28,36
,,Nuts and edible seeds,1,1,1,2,2,2,3,2,3,3,3,3,4,5,4,4,5,6,6,7,7,6,7,7,7,6,7,9,9,10,12,14,14,14,13,15,15,15,18,21,22,22,22,27,27,27,27,33,28,25,32
,,Peanut butter,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,3,3,4,4,3,5
,Pure fruit juices,,1,1,2,2,3,4,5,7,7,8,9,11,12,13,17,18,19,24,20,20,18,20,22,24,27,27,28,27,27,25,23,30,36,36,35,32,33,37,37,37,32,29,28,28,29,29,28,33,32,34,34
,,,21,25,27,32,37,41,48,51,53,54,56,59,65,67,71,73,74,74,76,76,75,76,79,79,80,80,81,86,88,90,93,97,102,108,117,118,116,119,123,127,117,113,111,112,119,118,126,118,113,129,135
White bread,,,16,18,19,22,26,27,29,31,32,31,30,30,28,28,30,30,31,29,31,30,29,29,32,31,31,30,32,32,32,33,31,31,30,33,38,39,36,35,36,35,30,29,29,25,27,26,27,24,23,28,26
,"White bread, standard, unsliced",,5,6,6,9,9,10,10,11,10,10,9,8,10,10,10,12,11,7,7,7,8,7,6,6,5,5,6,5,5,4,7,5,5,4,5,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2
,"White bread, standard, sliced",,11,12,13,14,16,17,19,21,21,21,21,22,19,19,19,19,20,22,20,19,18,19,17,14,13,14,14,24,25,28,23,25,25,28,33,34,31,30,32,30,26,24,24,22,23,22,23,20,19,23,22
,"White bread, premium, sliced and unsliced",,,,,,,,,,,,,,,,,,,,3,3,2,2,7,10,11,10,11,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,"White bread, soft grain, sliced and unsliced",,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
Brown and wholemeal bread,,,2,3,3,4,5,7,9,10,10,11,13,15,20,18,19,19,19,20,19,18,17,16,16,15,14,15,14,12,13,13,16,19,21,22,24,24,23,25,23,23,22,19,19,20,19,19,19,18,17,18,18
